date,rv_uz,tick_size,eta,n_observations,annualized_vol
2020-11-27,6.517536305581652e-06,0.02,0.5694444444444444,720,4.052677076953672
2020-11-30,7.461739934107997e-06,0.02,0.48424068767908307,720,4.3363100251195315
2020-12-01,4.523021862826139e-06,0.02,0.5255255255255256,720,3.376094651268218
2020-12-02,7.485684236521082e-06,0.02,0.6724137931034483,720,4.343261939606351
2020-12-03,6.362993912369424e-06,0.02,0.5374251497005988,720,4.004340727157336
2020-12-04,5.889187440684136e-06,0.02,0.4385245901639344,720,3.852369705846523
2020-12-07,6.67574600907871e-06,0.02,0.48559077809798273,720,4.101570423981325
2020-12-08,7.867760990002217e-06,0.02,0.42216358839050133,720,4.452724749499523
2020-12-09,7.022145252178368e-06,0.02,0.42245989304812837,720,4.206638329532204
2020-12-10,4.218115551512334e-06,0.02,0.43989071038251365,720,3.260314584485841
2020-12-11,4.924046964629323e-06,0.02,0.4971014492753623,720,3.5225840445425707
2020-12-14,5.6922714813135715e-06,0.02,0.4249329758713137,720,3.7874165512800677
2020-12-15,6.0886413163835365e-06,0.02,0.5058309037900874,720,3.917062179400081
2020-12-16,5.471853635358635e-06,0.02,0.4584487534626039,720,3.7133638605856762
2020-12-17,4.997978271893795e-06,0.02,0.6569965870307167,720,3.5489301550146575
2020-12-18,3.596756065210941e-06,0.02,0.4632768361581921,720,3.0106187543977687
2020-12-21,7.159806776325146e-06,0.02,0.6116504854368932,720,4.247671488749968
2020-12-22,3.7639495857575184e-06,0.02,0.4883720930232558,720,3.079797551156398
2020-12-23,4.5385176978076256e-06,0.02,0.5164179104477612,720,3.381872942390831
2020-12-24,5.572478076801033e-06,0.02,0.5519877675840978,720,3.747351698671824
2020-12-25,6.53512603944719e-06,0.02,0.5161290322580645,720,4.058142138886576
2020-12-28,6.134458811247166e-06,0.02,0.7052631578947368,720,3.931772654203554
2020-12-29,5.048307719772407e-06,0.02,0.6132686084142395,720,3.566754190272504
2020-12-30,7.224395144408578e-06,0.02,0.6270358306188925,720,4.2667875227048295
2020-12-31,7.916038639148706e-06,0.02,0.617363344051447,720,4.466365118376994
2021-01-04,5.052976639547832e-06,0.02,0.6306451612903226,720,3.5684031627130555
2021-01-05,8.347329984781331e-06,0.02,0.5927672955974843,720,4.58642252323627
2021-01-06,8.361431610261774e-06,0.02,0.75,720,4.590294942360422
2021-01-07,6.931683633788098e-06,0.02,0.5849056603773585,720,4.179454839706491
2021-01-08,1.0466168435764942e-05,0.02,0.7757352941176471,720,5.135634766815846
2021-01-11,1.0539729352290245e-05,0.02,0.7419928825622776,720,5.153650935770817
