trade_date,maturity,strike,option_type,market_price,underlying,r,q,order_book_id,volume,days_to_expiry,S0,api_iv,log_moneyness
2025-03-31,0.9698630136986301,3500.0,call,450.8,3887.3056,0.02,0.0,IO2603C3500,19.0,354,3887.3056,,
2025-03-31,0.9698630136986301,3500.0,put,106.0,3887.3056,0.02,0.0,IO2603P3500,231.0,354,3887.3056,,
2025-03-31,0.9698630136986301,3600.0,call,379.0,3887.3056,0.02,0.0,IO2603C3600,10.0,354,3887.3056,,
2025-03-31,0.9698630136986301,3600.0,put,140.60000000000002,3887.3056,0.02,0.0,IO2603P3600,13.0,354,3887.3056,,
2025-03-31,0.9698630136986301,3700.0,call,317.2,3887.3056,0.02,0.0,IO2603C3700,5.0,354,3887.3056,,
2025-03-31,0.9698630136986301,3700.0,put,181.2,3887.3056,0.02,0.0,IO2603P3700,6.0,354,3887.3056,,
2025-03-31,0.9698630136986301,3800.0,call,288.0,3887.3056,0.02,0.0,IO2603C3800,3.0,354,3887.3056,,
2025-03-31,0.9698630136986301,3800.0,put,235.8,3887.3056,0.02,0.0,IO2603P3800,2.0,354,3887.3056,,
2025-03-31,0.9698630136986301,3900.0,call,231.10000000000002,3887.3056,0.02,0.0,IO2603C3900,3.0,354,3887.3056,,
2025-03-31,0.9698630136986301,3900.0,put,278.5,3887.3056,0.02,0.0,IO2603P3900,33.0,354,3887.3056,,
2025-03-31,0.9698630136986301,4000.0,call,200.1,3887.3056,0.02,0.0,IO2603C4000,22.0,354,3887.3056,,
2025-03-31,0.9698630136986301,4000.0,put,353.1,3887.3056,0.02,0.0,IO2603P4000,6.0,354,3887.3056,,
2025-03-31,0.9698630136986301,4100.0,call,158.6,3887.3056,0.02,0.0,IO2603C4100,22.0,354,3887.3056,,
2025-03-31,0.9698630136986301,4100.0,put,415.9,3887.3056,0.02,0.0,IO2603P4100,9.0,354,3887.3056,,
2025-03-31,0.9698630136986301,4200.0,call,132.5,3887.3056,0.02,0.0,IO2603C4200,15.0,354,3887.3056,,
2025-03-31,0.9698630136986301,4200.0,put,465.5,3887.3056,0.02,0.0,IO2603P4200,0.0,354,3887.3056,,
2025-03-31,0.9698630136986301,4300.0,call,111.6,3887.3056,0.02,0.0,IO2603C4300,19.0,354,3887.3056,,
2025-03-31,0.9698630136986301,4300.0,put,540.6,3887.3056,0.02,0.0,IO2603P4300,0.0,354,3887.3056,,
2025-03-31,0.9698630136986301,4400.0,call,99.9,3887.3056,0.02,0.0,IO2603C4400,87.0,354,3887.3056,,
2025-03-31,0.9698630136986301,4400.0,put,631.5,3887.3056,0.02,0.0,IO2603P4400,19.0,354,3887.3056,,
2025-04-01,0.9671232876712329,3400.0,call,519.3,3887.6841,0.02,0.0,IO2603C3400,5.0,353,3887.6841,,
2025-04-01,0.9671232876712329,3400.0,put,84.9,3887.6841,0.02,0.0,IO2603P3400,268.0,353,3887.6841,,
2025-04-01,0.9671232876712329,3500.0,call,446.1,3887.6841,0.02,0.0,IO2603C3500,15.0,353,3887.6841,,
2025-04-01,0.9671232876712329,3500.0,put,111.9,3887.6841,0.02,0.0,IO2603P3500,149.0,353,3887.6841,,
2025-04-01,0.9671232876712329,3600.0,call,373.4,3887.6841,0.02,0.0,IO2603C3600,0.0,353,3887.6841,,
2025-04-01,0.9671232876712329,3600.0,put,145.3,3887.6841,0.02,0.0,IO2603P3600,10.0,353,3887.6841,,
2025-04-01,0.9671232876712329,3700.0,call,319.9,3887.6841,0.02,0.0,IO2603C3700,0.0,353,3887.6841,,
2025-04-01,0.9671232876712329,3700.0,put,182.0,3887.6841,0.02,0.0,IO2603P3700,12.0,353,3887.6841,,
2025-04-01,0.9671232876712329,3800.0,call,275.2,3887.6841,0.02,0.0,IO2603C3800,9.0,353,3887.6841,,
2025-04-01,0.9671232876712329,3800.0,put,231.10000000000002,3887.6841,0.02,0.0,IO2603P3800,10.0,353,3887.6841,,
2025-04-01,0.9671232876712329,3900.0,call,231.5,3887.6841,0.02,0.0,IO2603C3900,31.0,353,3887.6841,,
2025-04-01,0.9671232876712329,3900.0,put,278.5,3887.6841,0.02,0.0,IO2603P3900,41.0,353,3887.6841,,
2025-04-01,0.9671232876712329,4000.0,call,191.2,3887.6841,0.02,0.0,IO2603C4000,9.0,353,3887.6841,,
2025-04-01,0.9671232876712329,4000.0,put,344.6,3887.6841,0.02,0.0,IO2603P4000,4.0,353,3887.6841,,
2025-04-01,0.9671232876712329,4100.0,call,163.4,3887.6841,0.02,0.0,IO2603C4100,3.0,353,3887.6841,,
2025-04-01,0.9671232876712329,4100.0,put,417.20000000000005,3887.6841,0.02,0.0,IO2603P4100,0.0,353,3887.6841,,
2025-04-01,0.9671232876712329,4200.0,call,141.0,3887.6841,0.02,0.0,IO2603C4200,1.0,353,3887.6841,,
2025-04-01,0.9671232876712329,4200.0,put,474.9,3887.6841,0.02,0.0,IO2603P4200,0.0,353,3887.6841,,
2025-04-01,0.9671232876712329,4300.0,call,119.6,3887.6841,0.02,0.0,IO2603C4300,22.0,353,3887.6841,,
2025-04-01,0.9671232876712329,4300.0,put,616.6,3887.6841,0.02,0.0,IO2603P4300,0.0,353,3887.6841,,
