date,rv_minute,n_observations,n_returns,annualized_vol
2023-08-11,1.6444739065994958e-05,61,60,6.437448442225172
2023-08-14,9.148706465892144e-06,61,60,4.801535201792048
2023-08-15,1.1739624172841893e-05,61,60,5.439104054489266
2023-08-16,1.2836515544200653e-05,61,60,5.687531905087272
2023-08-17,1.9242526047563128e-05,61,60,6.963559839612142
2023-08-18,8.168157605834423e-06,61,60,4.536932572421894
2023-08-21,1.710136119035306e-05,61,60,6.564710976097097
2023-08-22,2.5553768470245013e-05,61,60,8.02468046373296
2023-08-23,1.798034526809149e-05,61,60,6.731305228229556
2023-08-24,2.8728372784934046e-05,61,60,8.508554484636848
2023-08-25,1.6568559903891667e-05,61,60,6.461638411255074
2023-08-28,5.466874312355103e-05,61,60,11.737343509983363
2023-08-29,2.142341118352616e-05,61,60,7.347584377364163
2023-08-30,1.6148485548825293e-05,61,60,6.379199290117824
2023-08-31,8.333561127781896e-06,61,60,4.582638327646028
2023-09-01,1.0238750776965461e-05,61,60,5.079532651529367
2023-09-04,1.8170203628359858e-05,61,60,6.766750560163041
2023-09-05,5.13231593944961e-06,61,60,3.5963086863356177
2023-09-06,4.975073581306087e-06,61,60,3.540788813935581
2023-09-07,8.87840251549203e-06,61,60,4.730071282659482
2023-09-08,4.655246037632228e-06,61,60,3.425086862377831
2023-09-11,7.093288189904928e-06,61,60,4.2278938300955975
2023-09-12,5.219436636103683e-06,61,60,3.626703782083847
2023-09-13,1.1400694308559747e-05,61,60,5.360013960576088
2023-09-14,8.073456613158027e-06,61,60,4.510555471907892
2023-09-15,1.4627310250349187e-05,61,60,6.0713113765380164
2023-09-18,2.02842156210082e-05,61,60,7.149561060998128
2023-09-19,7.192434548834601e-06,61,60,4.257338965018312
2023-09-20,4.289750754264289e-06,61,60,3.287882586216547
2023-09-21,7.84048511475179e-06,61,60,4.444999717567427
2023-09-22,1.609986596958625e-05,61,60,6.369588859836822
2023-09-25,6.5259016057123075e-06,61,60,4.0552770616068905
2023-09-26,5.004418246637304e-06,61,60,3.5512158455275578
2023-09-27,1.301643891815996e-05,61,60,5.727252925597323
2023-09-28,7.173982152283417e-06,61,60,4.251874295384826
2023-10-09,8.697280546285589e-06,61,60,4.6815752665785135
2023-10-10,6.0696934524930495e-06,61,60,3.9109624774833223
2023-10-11,8.976442457560485e-06,61,60,4.7561155361337075
2023-10-12,6.181727091803849e-06,61,60,3.9468914694156085
2023-10-13,5.691985515564309e-06,61,60,3.787321414828963
2023-10-16,1.2424346379102255e-05,61,60,5.595476108012408
2023-10-17,7.3623544648920595e-06,61,60,4.307334819993448
2023-10-18,1.3974212153184657e-05,61,60,5.934224012120316
2023-10-19,1.133922885472365e-05,61,60,5.345545501995432
2023-10-20,1.4808022566258166e-05,61,60,6.108700096335601
2023-10-23,1.1736213247440596e-05,61,60,5.438313836434074
2023-10-24,3.4826148962034454e-05,61,60,9.368131904725018
2023-10-25,1.0463601077321383e-05,61,60,5.1350048407815425
2023-10-26,1.0645171977507222e-05,61,60,5.179366117906534
2023-10-27,1.644260636516678e-05,61,60,6.4370309957479845
2023-10-30,8.357855655903065e-06,61,60,4.589313265933774
2023-10-31,7.038178324831541e-06,61,60,4.211437922916054
2023-11-01,1.067311950133057e-05,61,60,5.186160539681841
2023-11-02,5.964847595672191e-06,61,60,3.877037005381032
2023-11-03,2.3064000962903766e-05,61,60,7.623731529016318
2023-11-06,1.0821538428445604e-05,61,60,5.2220950622985525
2023-11-07,3.7504082290268567e-06,61,60,3.0742525493439343
2023-11-08,6.98798429447175e-06,61,60,4.196393740114101
2023-11-09,5.9675442497243435e-06,61,60,3.87791329316494
2023-11-10,8.46607096439473e-06,61,60,4.618928320538728
2023-11-13,7.195210880094452e-06,61,60,4.258160567409127
2023-11-14,6.773191743791208e-06,61,60,4.131397244801551
2023-11-15,6.5302323829801405e-06,61,60,4.056622438077021
2023-11-16,3.9171620470163e-06,61,60,3.1418542866404664
2023-11-17,9.099520994807804e-06,61,60,4.7886107491542536
2023-11-20,7.4896403779829534e-06,61,60,4.344409482601409
2023-11-21,5.563718433474149e-06,61,60,3.744405220105705
2023-11-22,5.093299441843293e-06,61,60,3.582612816569089
2023-11-23,5.887011736333073e-06,61,60,3.8516580294152987
2023-11-24,7.2941684165955185e-06,61,60,4.28734234810106
2023-11-27,9.426877449455617e-06,61,60,4.8739851428403185
2023-11-28,5.914465367632333e-06,61,60,3.86062854033297
2023-11-29,6.7979960986019575e-06,61,60,4.138955202521155
2023-11-30,8.875127025698276e-06,61,60,4.729198674697401
2023-12-01,6.330626614101636e-06,61,60,3.994143095525763
2023-12-04,5.5595543990541885e-06,61,60,3.7430037517502646
2023-12-05,7.596230909418458e-06,61,60,4.375214496654365
2023-12-06,1.1418981200766792e-05,61,60,5.364311011297939
2023-12-07,1.429005682443593e-05,61,60,6.00091186384024
2023-12-08,1.330382263606184e-05,61,60,5.790132385608798
2023-12-11,6.848089568935991e-06,61,60,4.15417689966601
2023-12-12,6.814065242040013e-06,61,60,4.143844158500755
2023-12-13,4.160843898043823e-06,61,60,3.23810540641753
2023-12-14,1.0204762850804485e-05,61,60,5.07109479146538
2023-12-15,1.8878142461489733e-05,61,60,6.8973124478273515
2023-12-18,1.888760485719204e-05,61,60,6.899040820296974
2023-12-19,1.9322483681404064e-05,61,60,6.978012530594814
2023-12-20,9.984667809002475e-06,61,60,5.016110333583805
2023-12-21,3.463221501930779e-05,61,60,9.342011659629614
2023-12-22,1.2247457826626575e-05,61,60,5.555501212590901
2023-12-25,5.9683476578831975e-06,61,60,3.878174325357959
2023-12-26,5.036969056540769e-06,61,60,3.5627464156859014
2023-12-27,1.1126106885940145e-05,61,60,5.295072176332365
2023-12-28,2.328621080243918e-05,61,60,7.66036886984868
2023-12-29,1.1171373727068514e-05,61,60,5.305832808543127
2024-01-02,4.895087140353846e-06,61,60,3.5122100725457317
2024-01-03,7.141562962654234e-06,61,60,4.242256317797013
2024-01-04,8.163244333616168e-06,61,60,4.535567849863206
2024-01-05,2.2251096122704547e-05,61,60,7.488174826298827
2024-01-08,9.870887704374007e-06,61,60,4.98744794609653
2024-01-09,1.957467680328943e-05,61,60,7.023402704123505
2024-01-10,3.589159638636492e-05,61,60,9.510353457871037
2024-01-11,1.4684592463290894e-05,61,60,6.083187734033288
2024-01-12,1.4557219968445754e-05,61,60,6.056747833654898
2024-01-15,1.726701654537516e-05,61,60,6.596429465577981
2024-01-16,1.3394311321609003e-05,61,60,5.809790403315311
2024-01-17,1.670896902387869e-05,61,60,6.48896000451338
2024-01-18,4.517912970860535e-05,61,60,10.670117471972157
2024-01-19,3.624969099632213e-05,61,60,9.55767865701352
2024-01-22,4.903868492981991e-05,61,60,11.11654109978217
2024-01-23,6.198857894979384e-05,61,60,12.49844866187322
2024-01-24,2.082656396660928e-05,61,60,7.244511108132514
2024-01-25,3.3230530080235476e-05,61,60,9.151007365432147
2024-01-26,1.6546839029407577e-05,61,60,6.457401517182208
2024-01-29,1.8412395405869748e-05,61,60,6.81169849764299
2024-01-30,3.152593832499016e-05,61,60,8.913212921218431
2024-01-31,5.662101831876041e-05,61,60,11.945081253941984
2024-02-01,6.906913960200799e-05,61,60,13.192961449085649
2024-02-02,3.170836638378401e-05,61,60,8.938964329671292
2024-02-05,0.00015870104488418732,61,60,19.998165743591386
2024-02-06,3.2286602602337965e-05,61,60,9.020101915050166
2024-02-07,3.467251418395713e-05,61,60,9.347445412708863
2024-02-08,3.590945465152195e-05,61,60,9.512719154996393
2024-02-19,1.345123870352213e-05,61,60,5.82212345565394
2024-02-20,1.0842466609842552e-05,61,60,5.227142226571154
2024-02-21,4.006090407427868e-05,61,60,10.047560811818073
2024-02-22,2.258887017785849e-05,61,60,7.544796408664942
2024-02-23,1.557065921576114e-05,61,60,6.264029152527793
2024-02-26,1.1829989064814373e-05,61,60,5.459997476495041
2024-02-27,1.384308815624336e-05,61,60,5.906317139616977
2024-02-28,3.714516364355694e-05,61,60,9.67500968380722
2024-02-29,3.025960397528916e-05,61,60,8.732365201806935
2024-03-01,2.1724212756729146e-05,61,60,7.398987508230936
2024-03-04,1.8222161373222107e-05,61,60,6.776418424250358
2024-03-05,2.5317768378954778e-05,61,60,7.987538814614051
2024-03-06,1.2704563724985309e-05,61,60,5.658224154888438
2024-03-07,9.45746060575877e-06,61,60,4.881884956296298
2024-03-08,1.4596446052259025e-05,61,60,6.064902641567525
2024-03-11,1.5027836188951824e-05,61,60,6.153872536554409
2024-03-12,2.3287487590518877e-05,61,60,7.660578876828277
2024-03-13,1.1819243648878396e-05,61,60,5.4575172006301145
2024-03-14,9.282210581928072e-06,61,60,4.836441942839667
2024-03-15,9.606767900387447e-06,61,60,4.920269820749301
2024-03-18,1.1311504400924234e-05,61,60,5.339006563990072
2024-03-19,5.720976796449311e-06,61,60,3.796954243476245
2024-03-20,8.007697810001163e-06,61,60,4.492148537304052
2024-03-21,1.2767264844153695e-05,61,60,5.672169550292667
2024-03-22,1.3471710002536294e-05,61,60,5.826552085615597
2024-03-25,6.75391357327409e-06,61,60,4.125513568593698
2024-03-26,1.1906368376537964e-05,61,60,5.477595120933608
2024-03-27,8.972665297806883e-06,61,60,4.755114777844311
2024-03-28,1.1790572423964868e-05,61,60,5.450893734828396
2024-03-29,1.0055540981976905e-05,61,60,5.0338815316395555
2024-04-01,1.1917619818962205e-05,61,60,5.480182656060358
2024-04-02,8.662710779687899e-06,61,60,4.672261889579126
2024-04-03,8.124220291869555e-06,61,60,4.524713818078584
2024-04-08,1.0419005075695413e-05,61,60,5.124050428201545
2024-04-09,1.0621749774356566e-05,61,60,5.173664990253867
2024-04-10,9.312497527073784e-06,61,60,4.844325935383161
2024-04-11,1.1303817744389164e-05,61,60,5.33719221275201
2024-04-12,8.214460700284795e-06,61,60,4.549773726760231
2024-04-15,3.4893309865067795e-05,61,60,9.377160596895568
2024-04-16,2.6304521209882312e-05,61,60,8.141707035315347
2024-04-17,9.416035917011289e-06,61,60,4.871181633943499
2024-04-18,2.4291173883909724e-05,61,60,7.823922174168945
2024-04-19,1.4271922256642987e-05,61,60,5.997102974498631
2024-04-22,8.840021387393435e-06,61,60,4.71983621497944
2024-04-23,1.213005496820587e-05,61,60,5.528809864688674
2024-04-24,9.450639875481344e-06,61,60,4.880124228563551
2024-04-25,1.354120016960814e-05,61,60,5.841560102182679
2024-04-26,1.071894265747468e-05,61,60,5.197281548736435
2024-04-29,2.4799445807233456e-05,61,60,7.905352834265419
